Product name,Product id,Listing price,Gender,Category,Rating,Reviews
  Swim Ozor Iii Slippers,CM0057,1299,Hombre,Adidas Core / Neo,22,46
  Swim Gadi Slippers,CL0206,1499,Hombre,Adidas Core / Neo,37,9
  Running Legus ,CJ8058,5999,Hombre,Adidas Core / Neo,27,87
  Originals Campus Low ,BZ0086,7999,Hombre,Adidas Originals,2,28
  Running Helkin 3.0 ,CJ8117,4599,Hombre,Adidas Core / Neo,4,87
  Running Legus 1.0 ,CJ8073,5599,Hombre,Adidas Core / Neo,25,66
  Running Kollide ,CL7551,4799,Hombre,Adidas Core / Neo,5,54
  Running Edge Pr ,AC8122,7999,Hombre,Adidas Sport Performance,42,66
  Originals Futurepacer ,CM8453,19999,Hombre,Adidas Originals,35,1
  Originals Micropacer X R1 ,EE3625,15999,Hombre,Adidas Originals,0,94
  Outdoor Andorian ,CM0031,4599,Hombre,Adidas Sport Performance,0,49
  Sport Inspired Advantage Base ,EE7697,4999,Hombre,Adidas Core / Neo,35,6
  Running Galaxy 4 ,F36159,5299,Hombre,Adidas Core / Neo,24,99
  Essentials Eezay Flip-Flops,F35028,1999,Hombre,Adidas Core / Neo,0,67
  Originals Pw Hu Holi Stan Smith ,AC7042,9999,Hombre,Adidas Originals,31,49
  Running Zeta 1.0 ,CJ8053,5999,Hombre,Adidas Core / Neo,44,42
  Running Purebounce+ Clima ,BC0836,8999,Hombre,Adidas Sport Performance,34,90
  Running Duramo 9 ,F35275,6599,Hombre,Adidas Core / Neo,38,88
  Running Helkin 3.0 ,CJ8115,4599,Hombre,Adidas Core / Neo,3,44
  Running Arius 1.0 ,CJ8089,4999,Hombre,Adidas Core / Neo,35,74
  Originals Skateboarding Seeley ,EE6128,5999,Hombre,Adidas Originals,43,19
  Running Helkin 3.0 ,CJ8118,4599,Hombre,Adidas Core / Neo,22,54
  Running Grito ,CL7328,4799,Hombre,Adidas Core / Neo,35,79
  Running Nepton 2.0 ,CL7470,5599,Hombre,Adidas Core / Neo,4,5
  Running Bound ,CL7541,4999,Hombre,Adidas Core / Neo,38,96
  Outdoor Terra Light Sandals,CL9928,3599,Hombre,Adidas Sport Performance,24,41
  Swim Gladi 19 Slippers,CM0045,1599,Hombre,Adidas Core / Neo,38,8
  Running Torik ,CL7599,4799,Hombre,Adidas Core / Neo,43,80
  Toe Side Ii Slippers,CM0069,1299,Hombre,Adidas Core / Neo,3,22
  Sport Inspired Nebular 2 ,CL7511,4999,Hombre,Adidas Core / Neo,4,94
  Running Kollide ,CL7552,4799,Hombre,Adidas Core / Neo,48,68
  Sport Inspired Netpoint ,EE9816,6599,Hombre,Adidas Core / Neo,44,3
  Running Whizz ,CL7545,5599,Hombre,Adidas Core / Neo,34,46
  Originals Continental 80 ,EE5060,8999,Mujer,Adidas Originals,35,50
  Tennis Courtsmash ,F36718,5599,Hombre,Adidas Core / Neo,3,75
  Outdoor Terra Light Sandals,CL9927,3599,Hombre,Adidas Sport Performance,43,71
  Running Sedna ,CL7285,4299,Hombre,Adidas Core / Neo,1,48
  Running Nepton 2.0 ,CL7471,5599,Hombre,Adidas Core / Neo,38,36
  Running Purebounce+ Street ,B96360,7999,Hombre,Adidas Sport Performance,45,7
  Originals Deerupt Runner ,EE5778,8999,Mujer,Adidas Originals,26,69
  Originals Sleek Super ,EE4519,7999,Mujer,Adidas Originals,44,71
  Originals Sleek Super ,EE4504,7999,Mujer,Adidas Originals,2,65
  Originals Taekwondo Team ,EE4697,6599,Mujer,Adidas Originals,38,3
  Swim Gladi 19 Slippers,CM0044,1599,Hombre,Adidas Core / Neo,47,74
  Originals Supercourt ,EE6045,7999,Mujer,Adidas Originals,2,2
  Originals Deerupt Runner ,CG6091,9999,Mujer,Adidas Originals,37,84
  Originals Boston Super X R1 ,G27834,13999,Hombre,Adidas Originals,36,34
  Running Torik ,CL7598,4799,Hombre,Adidas Core / Neo,39,54
  Originals Sleek ,EE4709,7599,Mujer,Adidas Originals,28,49
  Originals Marathon Tech ,EE4948,11999,Mujer,Adidas Originals,49,35
  Sport Inspired Court 80S ,EE9671,6999,Mujer,Adidas Core / Neo,24,48
  Originals Sambarose ,EE7046,7999,Mujer,Adidas Originals,48,25
  Sport Inspired Archivo ,EF0451,4999,Mujer,Adidas Core / Neo,46,51
  Originals U_Path X ,EE4561,7599,Mujer,Adidas Originals,39,12
  Running Torik ,CL7601,4799,Hombre,Adidas Core / Neo,37,51
  Running Grito ,CL7330,4799,Hombre,Adidas Core / Neo,38,31
  Sport Inspired Glenn W ,CM6625,2499,Mujer,Adidas Core / Neo,48,41
  Originals Sleek ,FV3395,7599,Mujer,Adidas Originals,42,5
  Originals Continental Vulc ,EF9317,6599,Mujer,Adidas Originals,37,78
 Originals Sleek Super ,EF4954,7999,Mujer,Adidas Originals,22,96
  Originals Sleek ,EE7104,7599,Mujer,Adidas Originals,39,26
  Originals Stan Smith ,FV4070,7999,Mujer,Adidas Originals,33,53
  Originals Continental 80 ,FV3918,8999,Mujer,Adidas Originals,43,78
  Originals Adilette Slides,EE5055,4999,Mujer,Adidas Originals,2,90
  Sport Inspired Glenn W ,CM6626,2499,Mujer,Adidas Core / Neo,48,96
  Originals Nmd_R1 Stlt Primeknit ,CQ2030,15999,Mujer,Adidas Originals,47,82
  Originals Sleek ,EE5292,7599,Mujer,Adidas Originals,36,69
  Originals N-5923 ,BD8041,7599,Mujer,Adidas Originals,28,21
  Originals Swift Run ,B37719,7599,Mujer,Adidas Originals,27,88
  Originals Sleek Super ,EE4505,7999,Mujer,Adidas Originals,37,32
  Swim Jung Slippers,CM0072,999,Mujer,Adidas Core / Neo,32,20
  Sport Inspired Questar Flow ,EF0795,6599,Mujer,Adidas Core / Neo,29,44
  Originals Forest Grove ,EE5875,6599,Mujer,Adidas Originals,15,69
  Originals Marathon Tech ,EE4947,11999,Mujer,Adidas Originals,43,66
